Store Name,Description,Department,Qty Sold,Cost,Retail,Total Retail,Margin,Profit
Golden LLC,SANTIAGO BURRITO,CO  : HOT FOOD,3373,3.00,4.49,"15,162.73",33.18,"5,025.77"
CEDAR   LLC,PIZZA SLICE ,CO  : HOT FOOD,2508,2.40,3.99,"10,038.84",39.85,"3,987.72"
BOULDER   LLC,SUGAR BEVERAGE FEE 20 OZ,SUGAR FEE  (OPERATIONAL ONLY),2339,0.40,0.40,937.20,0.00,0.00
HAWK   LLC,REGULAR DONUTS WHOLESALE,CO  : BAKERY,2275,2.14,2.99,"6,808.23",28.43,"1,933.75"
Zuni   LLC,DISPOSABLE BAG FEE $.10,CO  : DISPOSAL BA ,1661,0.15,0.10,177.89,-50.00,-83.05
BOULDER   LLC,SUGAR BEVERAGE FEE 12 OZ,SUGAR FEE  (OPERATIONAL ONLY),1529,0.24,0.24,372.35,0.00,0.00
CHEYENNE   LLC,KANVA FOCUS + FLOW KRATOM ENHANCED,SMOKE SHOP,1370,4.53,9.99,"12,605.30",54.70,"7,487.05"
Zuni   LLC,FEEL FREE PLANT BASED HERBAL KRATOM SUPPLEMENT 2 OZ,BEVERAGE : SPECIALITY,1366,4.95,9.99,"13,646.34",50.45,"6,884.64"
Zuni   LLC,SANTIAGO BURRITO,CO  : HOT FOOD,1136,3.00,4.59,"5,212.65",34.64,"1,806.24"
BOULDER   LLC,SUGAR BEVERAGE FEE 16 OZ,SUGAR FEE  (OPERATIONAL ONLY),1005,0.32,0.32,322.56,0.00,0.00
Golden LLC,RED BULL REGULAR 12 OZ,BEVERAGE : STANDARD,913,2.05,3.99,"3,642.87",48.62,"1,771.22"
BOULDER   LLC,SUGAR BEVERAGE FEE 28 OZ,SUGAR FEE  (OPERATIONAL ONLY),871,0.56,0.56,487.76,0.00,0.00
CHEYENNE   LLC,FOUNTAIN REFILL,CO  : FOUNTAIN,869,0.72,1.09,947.21,33.94,321.53
Golden LLC,MARLBORO GOLD PACK BOX,CIGARETTES,808,9.92,11.39,"9,151.27",12.94,"1,190.99"
CEDAR   LLC,RED BULL ENERGY DRINK 12 OZ,BEVERAGE : STANDARD,800,2.19,3.99,"3,192.00",45.23,"1,443.68"
Zuni   LLC,BIC LIGHTER LARGE ,COUNTER DISPLAY,779,0.75,2.59,"2,017.61",70.87,"1,429.85"
BOULDER   LLC,SUGAR BEVERAGE FEE 15.5 OZ,SUGAR FEE  (OPERATIONAL ONLY),778,0.31,0.31,241.18,0.48,1.17
WHEAT   LLC,FEEL FREE PLANT BASED HERBAL KRATOM SUPPLEMENT,BEVERAGE : SPECIALITY,758,4.40,9.99,"6,182.27",55.96,"4,237.22"
CEDAR   LLC,FULL PIZZA ,CO  : HOT FOOD,753,7.80,12.99,"9,807.45",39.95,"3,908.07"
Zuni   LLC,ZYN COOL MINT 6MG,POUCH,742,6.65,8.99,"6,670.58",26.03,"1,736.28"
